iter	Logloss
0	0.6867637157
1	0.6776646137
2	0.6683589458
3	0.6602715015
4	0.6503183842
5	0.6408779144
6	0.6366662979
7	0.6326512337
8	0.6264425278
9	0.6199843884
10	0.6154758453
11	0.6127092361
12	0.6022191048
13	0.5947347641
14	0.5900529385
15	0.5862780094
16	0.5813257694
17	0.5779623985
18	0.5755078793
19	0.5706179619
20	0.5665158749
21	0.5633926392
22	0.560852766
23	0.5583011627
24	0.5554637432
25	0.5542269707
26	0.5517996311
27	0.5491673946
28	0.5474403381
29	0.5445587158
30	0.5413230896
31	0.5386240005
32	0.5350788116
33	0.5338127136
34	0.5320593834
35	0.5283191681
36	0.5262598991
37	0.5241541862
38	0.522205019
39	0.5201365471
40	0.5186955452
41	0.5167339802
42	0.5133887768
43	0.5097144127
44	0.507616663
45	0.5056381226
46	0.5043923378
47	0.5022625923
48	0.5011234283
49	0.4977792263
50	0.496152401
51	0.4929843426
52	0.4915983677
53	0.4903894424
54	0.4882077217
55	0.485877037
56	0.4843029976
57	0.4832491875
58	0.4814962864
59	0.4791167259
60	0.4774143219
61	0.4745978832
62	0.473614502
63	0.4718972206
64	0.4698153496
65	0.4680713654
66	0.4664321899
67	0.4650871277
68	0.4637745857
69	0.4622027397
70	0.4603906155
71	0.458270216
72	0.4567442894
73	0.4552309513
74	0.4530493736
75	0.4508066654
76	0.4495341301
77	0.4480962753
78	0.4467731476
79	0.4447620392
80	0.4433998108
81	0.4415709496
82	0.4398986816
83	0.4392096519
84	0.4384030819
85	0.4360603809
86	0.4343131065
87	0.4332112312
88	0.4310634613
89	0.4302019119
90	0.4284657478
91	0.4271680355
92	0.4254226685
93	0.4229955673
94	0.4204811096
95	0.4189104557
96	0.4172596931
97	0.4156358242
98	0.4144770145
99	0.4134269714
