iter	Passed	Remaining
0	1	122
1	2	118
2	3	116
3	4	113
4	5	111
5	7	110
6	8	109
7	9	107
8	10	106
9	11	105
10	12	104
11	14	102
12	15	101
13	16	100
14	17	99
15	18	98
16	19	97
17	21	95
18	22	94
19	23	93
20	24	92
21	25	91
22	26	89
23	28	88
24	29	87
25	30	86
26	31	85
27	32	84
28	33	82
29	35	81
30	36	80
31	37	79
32	38	78
33	39	77
34	40	75
35	42	74
36	43	73
37	44	72
38	45	71
39	46	69
40	47	68
41	48	67
42	50	66
43	51	65
44	52	64
45	53	62
46	54	61
47	55	60
48	57	59
49	58	58
50	59	57
51	60	55
52	61	54
53	62	53
54	64	52
55	65	51
56	66	50
57	67	49
58	68	47
59	70	46
60	71	45
61	72	44
62	73	43
63	74	42
64	75	40
65	77	39
66	78	38
67	79	37
68	80	36
69	81	35
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	90	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	103	14
88	104	12
89	105	11
90	106	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	114	3
97	115	2
98	116	1
99	117	0
